date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:19:25	41090/41090	---MCZ	200	added ('OK')	text/html	etag:W/%22638b3b7c-a082%22	https://htmldemo.net/bstore/bstore/registration.html	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/registration.html	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:25	2984/2984	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:26%20GMT	https://htmldemo.net/bstore/bstore/assets/images/logo.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/logo.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:26	114864/114864	---MCZ	200	added ('OK')	text/html	etag:W/%22638b3b78-1c0b0%22	https://htmldemo.net/bstore/bstore/index-2.html	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/index-2.html	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:27	80229/80229	---MCZ	200	added ('OK')	text/html	etag:W/%22638b3b7e-13965%22	https://htmldemo.net/bstore/bstore/shop-gird.html	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/shop-gird.html	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:27	39830/39830	---MCZ	200	added ('OK')	text/html	etag:W/%22638b3b6c-9b96%22	https://htmldemo.net/bstore/bstore/404.html	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/404.html	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:27	41845/41845	---MCZ	200	added ('OK')	text/html	etag:W/%22638b3b6e-a375%22	https://htmldemo.net/bstore/bstore/about-us.html	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/about-us.html	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:27	41702/41702	---MCZ	200	added ('OK')	text/html	etag:W/%22638b3b75-a2e6%22	https://htmldemo.net/bstore/bstore/checkout-signin.html	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/checkout-signin.html	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:27	42584/42584	---MCZ	200	added ('OK')	text/html	etag:W/%22638b3b71-a658%22	https://htmldemo.net/bstore/bstore/checkout-address.html	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/checkout-address.html	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:28	40488/40488	---MCZ	200	added ('OK')	text/html	etag:W/%22638b3b77-9e28%22	https://htmldemo.net/bstore/bstore/contact-us.html	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/contact-us.html	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:28	80320/80320	---MCZ	200	added ('OK')	text/html	etag:W/%22638b3b7e-139c0%22	https://htmldemo.net/bstore/bstore/shop-list.html	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/shop-list.html	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:28	60053/60053	---MCZ	200	added ('OK')	text/html	etag:W/%22638b3b80-ea95%22	https://htmldemo.net/bstore/bstore/single-product.html	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/single-product.html	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:28	970/970	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:29%20GMT	https://htmldemo.net/bstore/bstore/assets/images/shopping-image.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/shopping-image.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:29	1204/1204	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:30%20GMT	https://htmldemo.net/bstore/bstore/assets/images/shopping-image2.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/shopping-image2.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:29	36920/36920	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:30%20GMT	https://htmldemo.net/bstore/bstore/assets/images/slider/2.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/slider/2.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:29	14746/14746	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:30%20GMT	https://htmldemo.net/bstore/bstore/assets/images/slider/1.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/slider/1.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:29	20476/20476	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:31%20GMT	https://htmldemo.net/bstore/bstore/assets/images/product/cms11.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/product/cms11.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:30	7834/7834	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:31%20GMT	https://htmldemo.net/bstore/bstore/assets/images/product/sale/8.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/product/sale/8.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:30	11810/11810	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:31%20GMT	https://htmldemo.net/bstore/bstore/assets/images/product/sale/6.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/product/sale/6.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:30	7032/7032	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:31%20GMT	https://htmldemo.net/bstore/bstore/assets/images/product/sale/4.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/product/sale/4.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:30	3452/3452	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:31%20GMT	https://htmldemo.net/bstore/bstore/assets/images/product/sale/2.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/product/sale/2.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:31	8582/8582	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:32%20GMT	https://htmldemo.net/bstore/bstore/assets/images/product/sale/10.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/product/sale/10.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:31	9666/9666	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:32%20GMT	https://htmldemo.net/bstore/bstore/assets/images/product/sale/11.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/product/sale/11.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:31	21784/21784	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:32%20GMT	https://htmldemo.net/bstore/bstore/assets/images/product/sale/3.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/product/sale/3.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:31	14926/14926	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:32%20GMT	https://htmldemo.net/bstore/bstore/assets/images/product/sale/1.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/product/sale/1.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:31	6676/6676	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:33%20GMT	https://htmldemo.net/bstore/bstore/assets/images/product/sale/9.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/product/sale/9.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:32	13780/13780	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:33%20GMT	https://htmldemo.net/bstore/bstore/assets/images/product/sale/5.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/product/sale/5.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:32	4850/4850	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:33%20GMT	https://htmldemo.net/bstore/bstore/assets/images/product/sale/12.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/product/sale/12.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:32	7520/7520	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:33%20GMT	https://htmldemo.net/bstore/bstore/assets/images/product/sale/7.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/product/sale/7.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:32	13112/13112	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:33%20GMT	https://htmldemo.net/bstore/bstore/assets/images/product/shope-add1.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/product/shope-add1.webp	(from https://htmldemo.net/bstore/bstore/index.html)
01:19:33	17024/17024	---M--	200	added ('OK')	image/webp	date:Mon,%2020%20Nov%202023%2018:19:34%20GMT	https://htmldemo.net/bstore/bstore/assets/images/product/shope-add2.webp	C:/My%20Web%20Sites/demo%20duan1/htmldemo.net/bstore/bstore/assets/images/product/shope-add2.webp	(from https://htmldemo.net/bstore/bstore/index.html)
